Date,Time,Employee Card,Machine,Location,Tea Type,Amount (₹),Status,Error Details
26/7/2025,1:01:04 am,RFID_23456789_002,UK001,,Regular Tea,15.00,Success,
26/7/2025,12:31:04 am,RFID_23456789_002,UK002,,Regular Tea,15.00,Success,
25/7/2025,11:46:04 pm,RFID_23456789_002,UK001,,Regular Tea,15.00,Success,
25/7/2025,9:46:04 pm,RFID_23456789_002,UK002,,Regular Tea,15.00,Success,
25/7/2025,8:46:04 pm,RFID_23456789_002,UK002,,Regular Tea,15.00,Success,
25/7/2025,7:46:04 pm,RFID_23456789_002,UK001,,Regular Tea,15.00,Success,
25/7/2025,6:46:04 pm,RFID_23456789_002,UK003,,Regular Tea,15.00,Success,
25/7/2025,5:46:04 pm,RFID_23456789_002,UK003,,Regular Tea,15.00,Success,
25/7/2025,1:46:04 am,RFID_23456789_002,UK002,,Regular Tea,15.00,Success,
23/7/2025,1:46:04 am,RFID_23456789_002,UK001,,Regular Tea,15.00,Success,
